x y e
28.9213 0.8205 0.8466
29.5506 0.8205 0.8859
30.1798 0.8205 0.9175
30.8090 0.8205 0.9419
31.4382 0.8205 0.9598
32.0674 0.8205 0.9719
32.6966 0.8205 0.9787
33.3258 0.8205 0.9806
33.9551 0.8205 0.9781
34.5843 0.8205 0.9717
35.2135 0.8205 0.9617
35.8427 0.8205 0.9488
36.4719 0.8205 0.9337
37.1011 0.8205 0.9168
37.7303 0.8205 0.8989
38.3596 0.8205 0.8803
38.9888 0.8205 0.8613
39.6180 0.8205 0.8419
40.2472 0.8205 0.8220
40.8764 0.8205 0.8012
41.5056 0.8205 0.7791
42.1348 0.8205 0.7553
42.7640 0.8205 0.7291
43.3933 0.8205 0.7001
44.0225 0.8205 0.6678
44.6517 0.8205 0.6318
45.2809 0.8205 0.5919
45.9101 0.8205 0.5481
46.5393 0.8205 0.5012
47.1685 0.8205 0.4523
47.7978 0.8205 0.4042
48.4270 0.8205 0.3609
49.0562 0.8205 0.3278
49.6854 0.8205 0.3107
50.3146 0.8205 0.3129
50.9438 0.8205 0.3340
51.5730 0.8205 0.3697
52.2022 0.8205 0.4143
52.8315 0.8205 0.4626
53.4607 0.8205 0.5111
54.0899 0.8205 0.5575
54.7191 0.8205 0.6009
55.3483 0.8205 0.6406
55.9775 0.8205 0.6767
56.6067 0.8205 0.7092
57.2360 0.8205 0.7382
57.8652 0.8205 0.7639
58.4944 0.8205 0.7869
59.1236 0.8205 0.8074
59.7528 0.8205 0.8258
60.3820 0.8205 0.8426
61.0112 0.8205 0.8580
61.6404 0.8205 0.8722
62.2697 0.8205 0.8854
62.8989 0.8205 0.8975
63.5281 0.8205 0.9086
64.1573 0.8205 0.9183
64.7865 0.8205 0.9266
65.4157 0.8205 0.9330
66.0449 0.8205 0.9371
66.6742 0.8205 0.9383
67.3034 0.8205 0.9359
67.9326 0.8205 0.9290
68.5618 0.8205 0.9167
69.1910 0.8205 0.8981
69.8202 0.8205 0.8726
70.4494 0.8205 0.8396
71.0787 0.8205 0.7989
71.7079 0.8205 0.7507
72.3371 0.8205 0.6960
72.9663 0.8205 0.6357
73.5955 0.8205 0.5715
74.2247 0.8205 0.5050
74.8539 0.8205 0.4378
75.4831 0.8205 0.3716
76.1124 0.8205 0.3073
76.7416 0.8205 0.2459
77.3708 0.8205 0.1879
78.0000 0.8205 0.1337

22.0000 1.0256 0.1304
22.6292 1.0256 0.1877
23.2584 1.0256 0.2508
23.8876 1.0256 0.3190
24.5169 1.0256 0.3910
25.1461 1.0256 0.4650
25.7753 1.0256 0.5391
26.4045 1.0256 0.6110
27.0337 1.0256 0.6789
27.6629 1.0256 0.7408
28.2921 1.0256 0.7956
28.9213 1.0256 0.8426
29.5506 1.0256 0.8817
30.1798 1.0256 0.9131
30.8090 1.0256 0.9374
31.4382 1.0256 0.9551
32.0674 1.0256 0.9669
32.6966 1.0256 0.9733
33.3258 1.0256 0.9749
33.9551 1.0256 0.9720
34.5843 1.0256 0.9651
35.2135 1.0256 0.9547
35.8427 1.0256 0.9413
36.4719 1.0256 0.9257
37.1011 1.0256 0.9085
37.7303 1.0256 0.8903
38.3596 1.0256 0.8714
38.9888 1.0256 0.8522
39.6180 1.0256 0.8327
40.2472 1.0256 0.8126
40.8764 1.0256 0.7917
41.5056 1.0256 0.7696
42.1348 1.0256 0.7457
42.7640 1.0256 0.7195
43.3933 1.0256 0.6905
44.0225 1.0256 0.6581
44.6517 1.0256 0.6221
45.2809 1.0256 0.5822
45.9101 1.0256 0.5385
46.5393 1.0256 0.4916
47.1685 1.0256 0.4429
47.7978 1.0256 0.3949
48.4270 1.0256 0.3517
49.0562 1.0256 0.3188
49.6854 1.0256 0.3017
50.3146 1.0256 0.3040
50.9438 1.0256 0.3250
51.5730 1.0256 0.3607
52.2022 1.0256 0.4052
52.8315 1.0256 0.4534
53.4607 1.0256 0.5018
54.0899 1.0256 0.5483
54.7191 1.0256 0.5916
55.3483 1.0256 0.6315
55.9775 1.0256 0.6677
56.6067 1.0256 0.7002
57.2360 1.0256 0.7293
57.8652 1.0256 0.7552
58.4944 1.0256 0.7782
59.1236 1.0256 0.7988
59.7528 1.0256 0.8172
60.3820 1.0256 0.8340
61.0112 1.0256 0.8494
61.6404 1.0256 0.8636
62.2697 1.0256 0.8768
62.8989 1.0256 0.8890
63.5281 1.0256 0.9001
64.1573 1.0256 0.9100
64.7865 1.0256 0.9184
65.4157 1.0256 0.9250
66.0449 1.0256 0.9294
66.6742 1.0256 0.9309
67.3034 1.0256 0.9289
67.9326 1.0256 0.9224
68.5618 1.0256 0.9105
69.1910 1.0256 0.8924
69.8202 1.0256 0.8673
70.4494 1.0256 0.8347
71.0787 1.0256 0.7944
71.7079 1.0256 0.7467
72.3371 1.0256 0.6924
72.9663 1.0256 0.6325
73.5955 1.0256 0.5687
74.2247 1.0256 0.5026
74.8539 1.0256 0.4360
75.4831 1.0256 0.3702
76.1124 1.0256 0.3065
76.7416 1.0256 0.2457
77.3708 1.0256 0.1883
78.0000 1.0256 0.1348

22.0000 1.2308 0.1322
22.6292 1.2308 0.1886
23.2584 1.2308 0.2507
23.8876 1.2308 0.3180
24.5169 1.2308 0.3892
25.1461 1.2308 0.4626
25.7753 1.2308 0.5361
26.4045 1.2308 0.6077
27.0337 1.2308 0.6752
27.6629 1.2308 0.7369
28.2921 1.2308 0.7915
28.9213 1.2308 0.8384
29.5506 1.2308 0.8773
30.1798 1.2308 0.9085
30.8090 1.2308 0.9326
31.4382 1.2308 0.9500
32.0674 1.2308 0.9615
32.6966 1.2308 0.9676
33.3258 1.2308 0.9688
33.9551 1.2308 0.9654
34.5843 1.2308 0.9581
35.2135 1.2308 0.9472
35.8427 1.2308 0.9333
36.4719 1.2308 0.9172
37.1011 1.2308 0.8996
37.7303 1.2308 0.8810
38.3596 1.2308 0.8619
38.9888 1.2308 0.8425
39.6180 1.2308 0.8228
40.2472 1.2308 0.8026
40.8764 1.2308 0.7817
41.5056 1.2308 0.7595
42.1348 1.2308 0.7355
42.7640 1.2308 0.7092
43.3933 1.2308 0.6802
44.0225 1.2308 0.6478
44.6517 1.2308 0.6118
45.2809 1.2308 0.5719
45.9101 1.2308 0.5283
46.5393 1.2308 0.4815
47.1685 1.2308 0.4329
47.7978 1.2308 0.3851
48.4270 1.2308 0.3420
49.0562 1.2308 0.3092
49.6854 1.2308 0.2922
50.3146 1.2308 0.2945
50.9438 1.2308 0.3155
51.5730 1.2308 0.3510
52.2022 1.2308 0.3954
52.8315 1.2308 0.4436
53.4607 1.2308 0.4920
54.0899 1.2308 0.5384
54.7191 1.2308 0.5819
55.3483 1.2308 0.6218
55.9775 1.2308 0.6581
56.6067 1.2308 0.6907
57.2360 1.2308 0.7199
57.8652 1.2308 0.7459
58.4944 1.2308 0.7690
59.1236 1.2308 0.7896
59.7528 1.2308 0.8081
60.3820 1.2308 0.8248
61.0112 1.2308 0.8402
61.6404 1.2308 0.8544
62.2697 1.2308 0.8677
62.8989 1.2308 0.8799
63.5281 1.2308 0.8911
64.1573 1.2308 0.9011
64.7865 1.2308 0.9097
65.4157 1.2308 0.9165
66.0449 1.2308 0.9212
66.6742 1.2308 0.9231
67.3034 1.2308 0.9214
67.9326 1.2308 0.9153
68.5618 1.2308 0.9039
69.1910 1.2308 0.8862
69.8202 1.2308 0.8616
70.4494 1.2308 0.8295
71.0787 1.2308 0.7897
71.7079 1.2308 0.7425
72.3371 1.2308 0.6886
72.9663 1.2308 0.6292
73.5955 1.2308 0.5658
74.2247 1.2308 0.5002
74.8539 1.2308 0.4340
75.4831 1.2308 0.3688
76.1124 1.2308 0.3056
76.7416 1.2308 0.2454
77.3708 1.2308 0.1888
78.0000 1.2308 0.1360

22.0000 1.4359 0.1340
22.6292 1.4359 0.1894
23.2584 1.4359 0.2506
23.8876 1.4359 0.3170
24.5169 1.4359 0.3873
25.1461 1.4359 0.4600
25.7753 1.4359 0.5330
26.4045 1.4359 0.6042
27.0337 1.4359 0.6713
27.6629 1.4359 0.7328
28.2921 1.4359 0.7872
28.9213 1.4359 0.8339
29.5506 1.4359 0.8726
30.1798 1.4359 0.9036
30.8090 1.4359 0.9274
31.4382 1.4359 0.9446
32.0674 1.4359 0.9558
32.6966 1.4359 0.9615
33.3258 1.4359 0.9623
33.9551 1.4359 0.9585
34.5843 1.4359 0.9506
35.2135 1.4359 0.9391
35.8427 1.4359 0.9248
36.4719 1.4359 0.9082
37.1011 1.4359 0.8901
37.7303 1.4359 0.8712
38.3596 1.4359 0.8518
38.9888 1.4359 0.8321
39.6180 1.4359 0.8123
40.2472 1.4359 0.7920
40.8764 1.4359 0.7709
41.5056 1.4359 0.7486
42.1348 1.4359 0.7246
42.7640 1.4359 0.6983
43.3933 1.4359 0.6692
44.0225 1.4359 0.6368
44.6517 1.4359 0.6008
45.2809 1.4359 0.5610
45.9101 1.4359 0.5175
46.5393 1.4359 0.4708
47.1685 1.4359 0.4223
47.7978 1.4359 0.3746
48.4270 1.4359 0.3316
49.0562 1.4359 0.2990
49.6854 1.4359 0.2821
