x y e
78.0000 24.1818 0.0000

12.0000 24.9091 0.0000
12.7416 24.9091 0.0000
13.4831 24.9091 0.0000
14.2247 24.9091 0.0000
14.9663 24.9091 0.0000
15.7079 24.9091 0.0000
16.4494 24.9091 0.0000
17.1910 24.9091 0.0571
17.9326 24.9091 0.1125
18.6742 24.9091 0.1628
19.4157 24.9091 0.2078
20.1573 24.9091 0.2471
20.8989 24.9091 0.2805
21.6404 24.9091 0.3084
22.3820 24.9091 0.3308
23.1236 24.9091 0.3483
23.8652 24.9091 0.3616
24.6067 24.9091 0.3713
25.3483 24.9091 0.3782
26.0899 24.9091 0.3829
26.8315 24.9091 0.3862
27.5730 24.9091 0.3884
28.3146 24.9091 0.3900
29.0562 24.9091 0.3913
29.7978 24.9091 0.3925
30.5393 24.9091 0.3938
31.2809 24.9091 0.3955
32.0225 24.9091 0.3976
32.7640 24.9091 0.4005
33.5056 24.9091 0.4042
34.2472 24.9091 0.4090
34.9888 24.9091 0.4152
35.7303 24.9091 0.4228
36.4719 24.9091 0.4322
37.2135 24.9091 0.4432
37.9551 24.9091 0.4558
38.6966 24.9091 0.4696
39.4382 24.9091 0.4843
40.1798 24.9091 0.4991
40.9213 24.9091 0.5133
41.6629 24.9091 0.5262
42.4045 24.9091 0.5370
43.1461 24.9091 0.5451
43.8876 24.9091 0.5500
44.6292 24.9091 0.5515
45.3708 24.9091 0.5495
46.1124 24.9091 0.5441
46.8539 24.9091 0.5358
47.5955 24.9091 0.5252
48.3371 24.9091 0.5132
49.0787 24.9091 0.5005
49.8202 24.9091 0.4881
50.5618 24.9091 0.4765
51.3034 24.9091 0.4662
52.0449 24.9091 0.4573
52.7865 24.9091 0.4500
53.5281 24.9091 0.4439
54.2697 24.9091 0.4390
55.0112 24.9091 0.4348
55.7528 24.9091 0.4313
56.4944 24.9091 0.4282
57.2360 24.9091 0.4253
57.9775 24.9091 0.4225
58.7191 24.9091 0.4197
59.4607 24.9091 0.4169
60.2022 24.9091 0.4139
60.9438 24.9091 0.4110
61.6854 24.9091 0.4082
62.4270 24.9091 0.4056
63.1685 24.9091 0.4033
63.9101 24.9091 0.4012
64.6517 24.9091 0.3990
65.3933 24.9091 0.3963
66.1348 24.9091 0.3924
66.8764 24.9091 0.3861
67.6180 24.9091 0.3766
68.3596 24.9091 0.3626
69.1011 24.9091 0.3430
69.8427 24.9091 0.3170
70.5843 24.9091 0.2835
71.3258 24.9091 0.2421
72.0674 24.9091 0.1922
72.8090 24.9091 0.1339
73.5506 24.9091 0.0673
74.2921 24.9091 0.0000
75.0337 24.9091 0.0000
75.7753 24.9091 0.0000
76.5169 24.9091 0.0000
77.2584 24.9091 0.0000
78.0000 24.9091 0.0000

12.0000 25.6364 0.0000
12.7416 25.6364 0.0000
13.4831 25.6364 0.0000
14.2247 25.6364 0.0000
14.9663 25.6364 0.0000
15.7079 25.6364 0.0120
16.4494 25.6364 0.0782
17.1910 25.6364 0.1400
17.9326 25.6364 0.1969
18.6742 25.6364 0.2486
19.4157 25.6364 0.2945
20.1573 25.6364 0.3345
20.8989 25.6364 0.3684
21.6404 25.6364 0.3964
22.3820 25.6364 0.4188
23.1236 25.6364 0.4360
23.8652 25.6364 0.4487
24.6067 25.6364 0.4578
25.3483 25.6364 0.4639
26.0899 25.6364 0.4680
26.8315 25.6364 0.4705
27.5730 25.6364 0.4722
28.3146 25.6364 0.4734
29.0562 25.6364 0.4745
29.7978 25.6364 0.4757
30.5393 25.6364 0.4773
31.2809 25.6364 0.4793
32.0225 25.6364 0.4818
32.7640 25.6364 0.4850
33.5056 25.6364 0.4889
34.2472 25.6364 0.4938
34.9888 25.6364 0.4999
35.7303 25.6364 0.5072
36.4719 25.6364 0.5160
37.2135 25.6364 0.5263
37.9551 25.6364 0.5381
38.6966 25.6364 0.5510
39.4382 25.6364 0.5647
40.1798 25.6364 0.5785
40.9213 25.6364 0.5918
41.6629 25.6364 0.6037
42.4045 25.6364 0.6137
43.1461 25.6364 0.6212
43.8876 25.6364 0.6256
44.6292 25.6364 0.6268
45.3708 25.6364 0.6247
46.1124 25.6364 0.6194
46.8539 25.6364 0.6113
47.5955 25.6364 0.6010
48.3371 25.6364 0.5892
49.0787 25.6364 0.5767
49.8202 25.6364 0.5644
50.5618 25.6364 0.5528
51.3034 25.6364 0.5424
52.0449 25.6364 0.5335
52.7865 25.6364 0.5260
53.5281 25.6364 0.5200
54.2697 25.6364 0.5150
55.0112 25.6364 0.5110
55.7528 25.6364 0.5076
56.4944 25.6364 0.5046
57.2360 25.6364 0.5020
57.9775 25.6364 0.4995
58.7191 25.6364 0.4970
59.4607 25.6364 0.4945
60.2022 25.6364 0.4919
60.9438 25.6364 0.4895
61.6854 25.6364 0.4872
62.4270 25.6364 0.4851
63.1685 25.6364 0.4835
63.9101 25.6364 0.4820
