x y
42.4045 53.5814

43.8876 53.5390
43.1461 53.5617

44.6292 53.5144
43.8876 53.5390

45.3708 53.4892
44.6292 53.5144

46.1124 53.4653
45.3708 53.4892

46.8539 53.4441
46.1124 53.4653

47.5955 53.4270
46.8539 53.4441

48.3371 53.4147
47.5955 53.4270

49.0787 53.4070
48.3371 53.4147

49.8202 53.4034
49.0787 53.4070

50.5618 53.4023
49.8202 53.4034

51.3034 53.4023
50.5618 53.4023

52.0449 53.4020
51.3034 53.4023

52.7865 53.4003
52.0449 53.4020

53.5281 53.3968
52.7865 53.4003

54.2697 53.3917
53.5281 53.3968

55.0112 53.3860
54.2697 53.3917

55.7528 53.3805
55.0112 53.3860

56.4944 53.3763
55.7528 53.3805

57.2360 53.3742
56.4944 53.3763

57.9775 53.3746
57.2360 53.3742

58.7191 53.3776
57.9775 53.3746

59.4607 53.3828
58.7191 53.3776

60.2022 53.3901
59.4607 53.3828

60.9438 53.3996
60.2022 53.3901

61.6854 53.4123
60.9438 53.3996

62.4270 53.4299
61.6854 53.4123

63.1685 53.4562
62.4270 53.4299

63.9101 53.4962
63.1685 53.4562

64.6517 53.5570
63.9101 53.4962

65.3933 53.6473
64.6517 53.5570

66.1348 53.7772
65.3933 53.6473

66.8764 53.9577
66.1348 53.7772

67.0066 54.0000
66.8764 53.9577

23.1236 54.5614
22.7016 54.7273

23.8652 54.3406
23.1236 54.5614

24.6067 54.1791
23.8652 54.3406

25.3483 54.0644
24.6067 54.1791

25.9467 54.0000
25.3483 54.0644

67.0066 54.0000
67.6180 54.2069

68.3596 54.5335
67.6180 54.2069

68.7087 54.7273
68.3596 54.5335

21.6404 55.2504
21.3296 55.4545

22.3820 54.8590
21.6404 55.2504

22.7016 54.7273
22.3820 54.8590

68.7087 54.7273
69.1011 54.9619

69.7702 55.4545
69.1011 54.9619

20.8989 55.7578
20.4011 56.1818

21.3296 55.4545
20.8989 55.7578

69.7702 55.4545
69.8427 55.5133

70.5281 56.1818
69.8427 55.5133

20.1573 56.4071
19.6965 56.9091

20.4011 56.1818
20.1573 56.4071

70.5281 56.1818
70.5843 56.2432

71.1008 56.9091
70.5843 56.2432

19.4157 57.2425
19.1283 57.6364

19.6965 56.9091
19.4157 57.2425

71.1008 56.9091
71.3258 57.2387

71.5595 57.6364
71.3258 57.2387

18.6742 58.3157
18.6459 58.3636

19.1283 57.6364
18.6742 58.3157

71.5595 57.6364
71.9329 58.3636

18.6459 58.3636
18.2529 59.0909

71.9329 58.3636
72.0674 58.6634

72.2352 59.0909
72.0674 58.6634

17.9326 59.7398
17.8980 59.8182

18.2529 59.0909
17.9326 59.7398

72.2352 59.0909
72.4846 59.8182

17.8980 59.8182
17.6051 60.5455

72.4846 59.8182
72.7018 60.5455

17.6051 60.5455
