x y
56.5559 5.3548
58.2258 5.7807
57.7243 8.0287
55.2072 6.1323

63.9587 4.3591
64.3517 4.2597
64.3760 4.7282
63.9587 4.3591

25.4859 7.3339
26.3633 8.1484
24.4157 8.2580
25.4859 7.3339

41.6770 5.0416
42.1404 5.6564
40.5272 5.5220
41.6770 5.0416

55.2527 10.3500
55.0432 10.6102
54.9034 10.4998
55.2527 10.3500

52.9307 2.3729
54.8046 5.4480
53.0476 4.5583
52.9307 2.3729

48.1441 3.5312
49.3340 4.3621
48.6253 5.6621
48.1441 3.5312

52.8959 15.3160
52.9874 15.4412
52.8866 15.5700
52.8959 15.3160

50.0458 2.1845
50.7550 1.5700
50.8492 3.4003
49.8422 5.2633
50.0458 2.1845

41.5543 4.5824
41.6770 5.0416
40.5272 5.5220
41.5543 4.5824

44.2387 6.8658
46.1929 5.5259
46.9230 9.1567
44.2387 6.8658

46.5328 2.7332
48.1441 3.5312
48.6253 5.6621
46.1929 5.5259
46.5328 2.7332

74.9709 7.1733
80.8374 8.5426
73.7948 11.2426
74.9709 7.1733

70.8262 1.5700
72.3495 3.1578
71.2665 3.8971
70.8262 1.5700

46.9230 9.1567
48.2264 8.4513
47.5850 10.2674
46.9230 9.1567

41.6770 5.0416
42.2027 5.0257
42.1404 5.6564
41.6770 5.0416

49.3340 4.3621
49.8422 5.2633
48.6253 5.6621
49.3340 4.3621

25.7943 1.5700
26.1861 3.1438
24.4867 2.5127
25.7943 1.5700

38.8310 3.0428
40.5272 5.5220
37.7536 6.2359
38.8310 3.0428

41.9018 4.1148
41.6770 5.0416
41.5543 4.5824
41.9018 4.1148

75.3599 3.2160
74.9709 7.1733
74.1624 7.0003
75.3599 3.2160

41.9974 12.9146
41.7627 15.5700
40.9924 14.3928
